Car Name,Car Price,City,Model Year,Used KM,Fuel Type,CC,Type of Vehicle
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 63lacs,Lahore,2023,"41,000 km",Petrol,1600 cc,Automatic
KIA Sportage  2021 AWD for Sale,PKR 68.5lacs,Karachi,2021,"38,000 km",Petrol,2000 cc,Automatic
Toyota Corolla  2021  for Sale,PKR 14.5lacs,Abbottabad,2021,"280,000 km",Petrol,1500 cc,Manual
Suzuki Every Wagon  2013 PZ Turbo Special for Sale,PKR 25lacs,Karachi,2013,"111,445 km",Petrol,660 cc,Automatic
Toyota Raize  2021 Z for Sale,PKR 59.5lacs,Lahore,2021,"34,091 km",Petrol,1000 cc,Automatic
Mercedes Benz E Class  2007  for Sale,PKR 58lacs,Rawalpindi,2007,"230,000 km",Petrol,3000 cc,Automatic
JAC T9  2025 Hunter for Sale,PKR 1.14crore,Multan,2025,"2,739 km",Diesel,2000 cc,Automatic
Honda N Wgn  2017  for Sale,PKR 28lacs,Karachi,2017,"126,408 km",Petrol,660 cc,Automatic
Haval H6  2025 HEV for Sale,PKR 1.19crore,Lahore,2025,"11,000 km",Hybrid,1500 cc,Automatic
KIA Picanto  2021 1.0 MT for Sale,PKR 26.75lacs,Islamabad,2021,"98,790 km",Petrol,1000 cc,Manual
Honda N Wgn  2022 Custom for Sale,PKR 42.9lacs,Lahore,2022,"11,124 km",Petrol,660 cc,Automatic
Toyota Prado  2019 TX 2.7 for Sale,PKR 2.48crore,Lahore,2019,"43,000 km",Petrol,2700 cc,Automatic
Toyota Vitz  2018 F 1.0 for Sale,PKR 38lacs,Karachi,2018,"88,901 km",Petrol,996 cc,Automatic
Honda Vezel  2015 Hybrid Z for Sale,PKR 46.5lacs,Islamabad,2015,"128,000 km",Hybrid,1500 cc,Automatic
